method,n_runtime_pair,mean_runtime_sec,std_runtime_sec,median_runtime_sec,p25_runtime_sec,p75_runtime_sec,runtime_source
COMA Instance,477,131.25049022908482,114.14235606178312,94.33865213394164,40.71437478065491,208.92346715927124,pair-level/estimated existing summary
COMA++,481,130.5410972087646,114.02369828896973,93.78764176368712,40.60609650611877,206.12328362464905,pair-level/estimated existing summary
MetaSpace,551,127.3194228736838,104.67551696444784,75.55353802154755,53.96481650531271,179.5107937385188,pair-level/estimated existing summary
ISResMat,404,123.02777994564264,80.60122955228184,125.71620559692384,77.41095471382141,169.6590252518654,pair-level/estimated existing summary
Cupid,336,70.31050620405446,60.51397451826556,54.02046763896942,25.293003261089325,95.15923577547072,pair-level/estimated existing summary
MagnetoGPT,418,46.675836451886376,69.87044719292616,16.897768020629883,11.232185602188109,43.41662901639938,pair-level/estimated existing summary
MagnetoFTGPT,388,42.488010281754526,67.78403960755223,16.61027681827545,11.027821719646454,21.69961529970169,pair-level/estimated existing summary
Distribution Based,163,31.660038714028573,34.62152732600636,15.867064952850342,8.857060432434082,40.31168758869171,pair-level/estimated existing summary
LLMATCH,531,19.130408914749232,12.071396377418278,14.71745777130127,10.539698004722595,24.85817241668701,pair-level/estimated existing summary
Magneto,246,13.900714240423063,4.734788972316154,13.752073407173157,9.810118079185486,17.702889502048492,pair-level/estimated existing summary
MagnetoFT,301,13.066296514086549,4.796452106465597,12.136727333068848,9.086776733398438,17.093509674072266,pair-level/estimated existing summary
Similarity Flooding,488,3.4170918049382384,3.999059768115863,1.6008620262145996,0.6527805924415588,5.423870921134949,pair-level/estimated existing summary
COMA,507,1.9627831640563305,0.6576638565550283,1.6745731830596924,1.492220401763916,2.3962823152542114,pair-level/estimated existing summary
SMUTF,934,56.85305144954261,13.179817702360003,62.23772665364555,58.23168285967991,63.889788209176295,fold runtime amortized; no pair-level timing logged
